,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,2938.2474679247666
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,845.2194971604791
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1395.8007429459299
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,6827.231530871455
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,17780.12148986614
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,14152.802276355202
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,4325.1457446313125
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,2563.749345562177
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,2354.3517917637014
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,3653.8981653577403
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,6258.178641758634
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,782.9117302672273
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,1479.458865358653
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,842.6881235164254
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1706.9980578808402
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1450.994985634766
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,381.4657890224855
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,20683.67056911193
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4028.6046635124635
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,794.7073417783979
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,4041.165589915839
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,756.9118495417065
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,3924.8712358211865
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,4776.060669969978
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,6691.604763663387
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,1051.7481368459414
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,2288.115256993919
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,1964.8292119241758
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,1566.8659857839684
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,1270.6734901599664
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,4757.715299532174
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,916.092653741709
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,3073.125660840928
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,3185.528308241076
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,1209.8743829227133
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,6972.849609643307
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,1367.0779722698028
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,6046.889668735343
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,642.0385661919524
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,435.1792089698006
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,958.1637487739152
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,698.182436236691
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,412.6814546136872
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,635.8257439134134
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,12959.693797260143
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,5627.760929165376
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,9034.111416621083
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,1167.3282039185322
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,897.0215961633385
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,3711.9006695579715
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,1703.9391043974128
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,4560.932219009274
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,6391.809926168962
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,542.635544932206
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,3187.3923557079142
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,10886.430731537363
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,327.7871585765181
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,2161.9133061388848
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,5814.528273100634
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,4078.8864395266796
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,1872.2914570506894
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,1338.1934743216664
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,4455.394020959922
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1356.8487783817843
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,1637.1949084350704
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,9726.043477178626
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,712.3761813606822
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,2059.92432098371
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,5863.550438984383
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,1012.7252100578235
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,620.3771532313821
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,595.472587154367
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,5882.828217572324
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,534.3344872082732
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,801.6409316175835
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,4037.0245080601303
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,592.739026571383
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1641.4559754864915
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1372.8568677508854
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,1565.0285232330184
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,916.9849523140499
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,1173.759905372553
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,627.6704425464264
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,4019.655715285474
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,2559.3002918636907
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,2154.22698940497
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,611.0458691862893
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,2257.2620995075927
88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,3375.683982823152
89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,4019.655715285474
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,2210.4982138830796
91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,10006.594095015022
92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,9847.155240359658
93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,1202.5102333167833
94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,5183.051985472462
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,18319.229226538864
96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,7412.6891499051635
97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,1211.3855571661093
98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,2474.3059436262997
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,5837.746718309914
100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,5215.947421493079
101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,5162.446814230544
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,3008.739877193238
103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,4714.24285063645
104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,10559.999557039733
105,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,1183.3772048578726
106,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,771.532251551124
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,465.7325052117869
108,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,646.5483696116585
109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,3096.7780813095587
110,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,782.9117302672273
111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,4730.630469945273
112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,1753.7977644337375
113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,2760.0814252811706
114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,1767.517958911052
115,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,418.1966223927949
116,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,1174.7120522645037
117,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,8038.950722078516
118,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,564.8790814713217
119,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,1093.6275504215332
120,1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,9583.562257276064
121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,4186.066917604588
122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,667.6391743782233
123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,1363.4956503330347
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,6605.220630134971
125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,4843.291331365285
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,3411.619066859431
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,3180.7676171564467
128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,531.9455086265465
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,4553.777663061431
130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,3515.2228314507884
131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,1328.1817196141783
132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,1255.1238868283356
133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,1753.7977644337375
134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,4037.276031921175
135,1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,4656.694039682478
136,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,4833.954239362195
137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,3401.4498958516356
138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,3663.7409038635037
139,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,626.1670794474766
140,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,9060.87180346147
141,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,805.0685476261418
142,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,5027.542328980293
143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,7724.827147464182
144,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,532.7674138046027
145,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,951.5084521412177
146,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,2288.115256993919
147,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,3730.2699358636
148,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,3719.0217364294786
149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,3437.971175151627
150,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,4598.899272646792
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,3090.3416772365385
152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,987.5227109664495
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,771.4567602495538
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,10919.491160621776
155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,5728.471744580874
156,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1603.261286673977
157,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,547.438488425126
158,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,12359.951618422905
159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,12098.940150656785
160,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,620.2778938351687
161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,1387.798576931558
162,1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,6029.421249653914
163,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,683.9922974303579
164,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,1806.621261300325
165,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,3551.5683271096564
166,0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,1033.4561465512468
167,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,732.4438057995761
168,1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,5399.879718750592
169,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,8244.94105412682
170,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,1900.8452633905522
171,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,762.1461505597109
