,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,2996.7107705545823
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,831.1783322336375
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1443.1473327617173
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,7514.509470265962
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,18919.137684486876
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,12145.614557161227
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,4434.177883783178
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,2409.5048052304014
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,2308.2908675435983
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,3911.2623909638532
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,6075.549253126622
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,765.7307172666402
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,1289.94082571431
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,812.1261677449427
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1537.1651337193903
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1404.953147251714
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,387.2825986129202
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,20652.632343934813
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4068.1788928815536
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,867.1158286153297
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,4035.45103215833
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,819.3967539427061
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,3987.7144493004953
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,5270.467834745733
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,6947.46867213617
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,1113.4136111480486
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,2190.8460145230056
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,1976.5830031910446
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,1386.4154046863528
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,1545.6445573711812
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,4649.304875394521
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,872.4773055497553
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,2892.9001625054784
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,3009.9755130895874
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,1210.4435574670695
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,7057.620068410969
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,1439.2724746128815
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,6159.7206988385315
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,641.9520709467339
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,425.6887237336501
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,852.8667298197788
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,765.7307172666402
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,452.5606668249848
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,686.5931649618947
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,14047.378118526845
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,5101.367711514977
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,8688.248323452126
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,1118.3408457178425
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,979.8757516057344
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,3959.386099878349
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,1605.1241037457876
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,4672.530548994469
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,6607.889852938817
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,570.0269516859979
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,2932.7057543054552
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,10520.029514713813
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,317.89151372367024
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,2705.34313436294
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,5992.725651461425
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,4306.291910862825
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,1810.587931442391
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,1307.615302944236
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,3744.6469160648508
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1354.0664188544943
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,1671.1548905681223
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,10012.72538696765
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,708.9166110751272
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,1914.0263355346258
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,6059.691463629513
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,940.3564871223164
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,632.2587830274283
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,597.3451537414733
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,6010.989996552421
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,589.3217451251616
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,794.4428200747539
